region;dm_method;lag;models_params;predictors_dict;predictors_list;selected_predictors;recall. mean;precision. mean;fscore. mean;accuracy. mean;recall. std;precision. std;fscore. std;accuracy. std
LeftSTS;PCA_1;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];0.6533254855797528;0.6421321968018744;0.6339809494815738;0.6533254855797528;0.0;0.0;0.0;0.0
RightSTS;PCA_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];0.7226148409893993;0.7471091097612089;0.7276190608001804;0.7226148409893993;0.0;0.0;0.0;0.0
LeftSTS;PCA_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];0.7045320776927605;0.7245470244594785;0.7078543072013924;0.7045320776927605;0.0;0.0;0.0;0.0
RightSTS;PCA_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];0.7008244994110718;0.7552513028684515;0.7060418581084072;0.7008244994110718;0.0;0.0;0.0;0.0
LeftSTS;PCA_3;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];0.7015891701000588;0.7088370629417017;0.7038544143143498;0.7015891701000588;0.0;0.0;0.0;0.0
RightSTS;PCA_4;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];0.7226148409893993;0.7471091097612089;0.7276190608001804;0.7226148409893993;0.0;0.0;0.0;0.0
LeftSTS;PCA_4;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['disc_IPU']};['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];['disc_IPU_t6', 'disc_IPU_t5', 'disc_IPU_t4', 'disc_IPU_t3'];0.7015891701000588;0.7088370629417017;0.7038544143143498;0.7015891701000588;0.0;0.0;0.0;0.0
RightSTS;PCA_1;6;{'C': 0.7, 'solver': 'lbfgs'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];0.6552132701421801;0.6323455040535189;0.6268496465614285;0.6552132701421801;0.0;0.0;0.0;0.0
LeftSTS;PCA_1;6;{'C': 0.9, 'solver': 'lbfgs'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];0.6522511848341233;0.6407500700849746;0.6186516135912365;0.6522511848341233;0.0;0.0;0.0;0.0
RightSTS;PCA_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];0.7221563981042654;0.7145586818150189;0.7151511920556319;0.7221563981042654;0.0;0.0;0.0;0.0
LeftSTS;PCA_2;6;{'C': 1, 'solver': 'lbfgs'};{'speech_ts': ['IPU']};['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];['IPU_t6', 'IPU_t5', 'IPU_t4', 'IPU_t3'];0.683649289099526;0.6754272170635456;0.6721396658961973;0.683649289099526;0.0;0.0;0.0;0.0
